Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency_num,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas
2023-06-06 10.03.52,23,Male,Once a week,Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,1,No,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,No,1,No,2,2,Competitive prices,Customer service responsiveness
2023-06-06 10.07.39,24,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Often,others,Sometimes,Yes,Moderately,Yes,2,Yes,2,2,Competitive prices,Product quality and accuracy
2023-06-06 10.17.06,24,Female,Few times a month,others,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Sometimes,No,Moderately,Yes,2,Yes,3,2,Wide product selection,Customer service responsiveness
2023-06-06 10.19.05,26,Female,Less than once a month,others,No,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Often,Yes,Moderately,Yes,1,Yes,2,1,Product recommendations,Shipping speed and reliability
2023-06-06 10.22.47,25,Female,Less than once a month,Clothing and Fashion,Sometimes,Rarely,categories,First page,5,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Yes,4,Sometimes,4,3,Wide product selection,Shipping speed and reliability
2023-06-06 10.36.14,26,Male,Few times a month,Clothing and Fashion;others,No,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Never,No,Occasionally,Sometimes,3,No,3,3,Product recommendations,Reducing packaging waste
2023-06-06 10.46.31,29,Male,Less than once a month,others,No,Rarely,Keyword,First page,4,No,Sometimes,Found a better price elsewhere,Rarely,No,Moderately,Yes,3,Sometimes,4,4,Wide product selection,Product quality and accuracy
2023-06-06 11.20.53,23,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,2,Yes,Often,High shipping costs,Often,Yes,Moderately,Yes,2,Yes,3,4,Competitive prices,Reducing packaging waste
2023-06-06 11.49.21,30,Male,Multiple times a week,Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Keyword,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,1,Yes,1,2,Competitive prices,Customer service responsiveness
2023-06-06 12.00.16,23,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,categories,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,No,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Customer service responsiveness
2023-06-06 12.52.14,21,Female,Less than once a month,Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Never,High shipping costs,Never,No,Heavily,Yes,4,Sometimes,3,3,Wide product selection,Reducing packaging waste
2023-06-06 13.06.16,23,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,Yes,Moderately,No,3,Yes,2,2,Product recommendations,Product quality and accuracy
2023-06-06 14.07.12,21,Female,Once a month,Clothing and Fashion,Sometimes,Few times a week,,Multiple pages,3,Yes,Always,Changed my mind or no longer need the item,Often,No,Moderately,Sometimes,3,Sometimes,3,3,User-friendly website/app interface,Customer service responsiveness
2023-06-06 15.02.38,23,Female,Less than once a month,Clothing and Fashion;others,No,Few times a month,Keyword,Multiple pages,2,Yes,Often,Changed my mind or no longer need the item,Rarely,No,Moderately,Yes,2,Sometimes,2,1,Wide product selection,Shipping speed and reliability
2023-06-06 16.25.49,27,Male,Once a month,others,Sometimes,Few times a month,Keyword,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,3,Sometimes,3,1,Wide product selection,Product quality and accuracy
2023-06-06 16.46.25,38,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,2,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Moderately,Sometimes,4,Sometimes,4,2,Wide product selection,Product quality and accuracy
2023-06-06 17.16.58,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Never,No,Heavily,Yes,3,No,2,2,User-friendly website/app interface,Product quality and accuracy
2023-06-06 18.32.00,38,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,First page,3,No,Sometimes,Found a better price elsewhere,Rarely,No,Moderately,No,4,No,4,2,Product recommendations,Shipping speed and reliability
2023-06-06 18.32.36,23,Male,Few times a month,others,No,Few times a week,categories,Multiple pages,3,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Heavily,Sometimes,2,Yes,3,3,Competitive prices,Reducing packaging waste
2023-06-06 18.33.23,24,Male,Once a week,Clothing and Fashion;others,No,Few times a week,categories,First page,2,No,Often,Found a better price elsewhere,Often,Yes,Occasionally,No,3,No,3,2,Product recommendations,Customer service responsiveness
2023-06-06 18.34.44,25,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Filter,First page,2,No,Often,Found a better price elsewhere,Sometimes,Yes,Heavily,No,2,Yes,3,2,Product recommendations,Customer service responsiveness
2023-06-06 18.35.14,26,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Sometimes,No,Heavily,Yes,1,Yes,2,1,Wide product selection,Customer service responsiveness
2023-06-06 18.35.33,27,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Filter,First page,3,No,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,No,3,No,3,2,Competitive prices,Product quality and accuracy
2023-06-06 18.36.16,29,Prefer not to say,Once a week,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,1,No,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,No,3,No,2,1,Competitive prices,Customer service responsiveness
2023-06-06 18.37.19,35,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Sometimes,No,Never,No,4,No,3,2,Competitive prices,Reducing packaging waste
2023-06-06 18.37.26,21,Female,Once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Heavily,Yes,1,Sometimes,3,1,Competitive prices,Product quality and accuracy
2023-06-06 18.38.03,36,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,categories,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,2,Yes,2,3,Product recommendations,Customer service responsiveness
2023-06-06 18.38.45,44,Female,Few times a month,Beauty and Personal Care,No,Multiple times a day,Filter,First page,2,No,Often,High shipping costs,Sometimes,No,Occasionally,No,2,No,2,2,Competitive prices,Customer service responsiveness
2023-06-06 18.38.49,32,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Yes,1,Yes,1,1,User-friendly website/app interface,Customer service responsiveness
2023-06-06 18.39.26,30,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Few times a month,Filter,Multiple pages,3,Yes,Always,High shipping costs,Often,Yes,Moderately,Yes,4,No,3,2,Competitive prices,Product quality and accuracy
2023-06-06 18.40.27,36,Others,Less than once a month,others,Sometimes,Rarely,others,First page,5,Maybe,Never,others,Never,No,Never,Sometimes,5,Sometimes,5,5,User-friendly website/app interface,Shipping speed and reliability
2023-06-06 18.40.30,25,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Always,No,Heavily,Yes,1,Yes,1,1,Wide product selection,Customer service responsiveness
2023-06-06 18.41.11,20,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Always,High shipping costs,Always,Yes,Heavily,Yes,4,Yes,1,1,Wide product selection,Product quality and accuracy
2023-06-06 18.42.00,35,Female,Once a week,Beauty and Personal Care,No,Few times a month,categories,First page,3,No,Rarely,Changed my mind or no longer need the item,Sometimes,No,Occasionally,No,2,Sometimes,4,3,Product recommendations,Product quality and accuracy
2023-06-06 18.42.07,42,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Yes,1,Yes,1,1,Wide product selection,Product quality and accuracy
2023-06-06 18.43.02,37,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,Multiple pages,2,No,Often,Found a better price elsewhere,Often,No,Moderately,No,2,No,1,1,Product recommendations,Reducing packaging waste
2023-06-06 18.43.32,28,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,3,Sometimes,2,1,Wide product selection,Customer service responsiveness
2023-06-06 18.44.04,27,Male,Once a week,Beauty and Personal Care;Home and Kitchen,No,Few times a week,categories,First page,2,No,Often,Changed my mind or no longer need the item,Often,No,Heavily,Sometimes,3,No,2,2,Competitive prices,Customer service responsiveness
2023-06-06 18.44.50,45,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,categories,Multiple pages,2,No,Often,Changed my mind or no longer need the item,Often,No,Moderately,No,2,No,2,2,Competitive prices,Product quality and accuracy
2023-06-06 18.45.07,35,Male,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Keyword,First page,1,Yes,Rarely,High shipping costs,Always,Yes,Heavily,Yes,1,Yes,1,1,Competitive prices,Shipping speed and reliability
2023-06-06 18.45.33,50,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,First page,3,Yes,Often,Changed my mind or no longer need the item,Rarely,Yes,Moderately,No,2,No,3,2,Competitive prices,Reducing packaging waste
2023-06-06 18.46.14,54,Female,Few times a month,Beauty and Personal Care;others,No,Few times a week,Keyword,First page,3,No,Rarely,Changed my mind or no longer need the item,Sometimes,No,Moderately,Yes,2,No,3,2,Competitive prices,Reducing packaging waste
2023-06-06 18.46.21,29,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,1,Sometimes,1,1,Competitive prices,Product quality and accuracy
2023-06-06 18.48.26,63,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,No,Rarely,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,2,Sometimes,3,2,Competitive prices,Customer service responsiveness
2023-06-06 18.51.13,24,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Sometimes,2,Sometimes,2,1,Competitive prices,Product quality and accuracy
2023-06-06 18.57.14,23,Female,Less than once a month,Beauty and Personal Care,No,Rarely,Keyword,Multiple pages,1,Yes,Rarely,High shipping costs,Often,Yes,Heavily,Yes,1,Yes,1,1,Wide product selection,Shipping speed and reliability
2023-06-06 19.02.21,26,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,categories,Multiple pages,1,Yes,Always,High shipping costs,Always,Yes,Occasionally,Yes,5,Yes,1,1,Wide product selection,Product quality and accuracy
2023-06-06 19.08.47,29,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,Filter,Multiple pages,5,Yes,Sometimes,Found a better price elsewhere,Always,No,Rarely,Yes,3,Yes,1,1,Competitive prices,Shipping speed and reliability
2023-06-06 19.10.14,46,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,No,2,Yes,3,2,Competitive prices,Reducing packaging waste
2023-06-06 19.10.55,24,Male,Less than once a month,others,No,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,3,Yes,4,5,Wide product selection,Nil
2023-06-06 19.11.13,33,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Often,No,Occasionally,No,2,No,2,2,Competitive prices,Reducing packaging waste
2023-06-06 19.11.46,33,Female,Once a week,Beauty and Personal Care;others,No,Few times a week,Filter,First page,5,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,2,Yes,1,1,Product recommendations,Shipping speed and reliability
2023-06-06 19.12.54,31,Prefer not to say,Once a month,Clothing and Fashion,No,Few times a month,categories,First page,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Heavily,No,3,No,5,4,Wide product selection,Shipping speed and reliability
2023-06-06 19.15.48,40,Prefer not to say,Few times a month,Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,Filter,First page,2,No,Always,High shipping costs,Often,No,Occasionally,No,1,Yes,1,2,Product recommendations,Reducing packaging waste
2023-06-06 19.16.28,37,Male,Once a week,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,First page,3,No,Sometimes,Found a better price elsewhere,Always,No,Occasionally,No,2,No,3,4,Product recommendations,Customer service responsiveness
2023-06-06 19.17.17,25,Prefer not to say,Few times a month,Beauty and Personal Care,No,Rarely,categories,First page,3,No,Rarely,Changed my mind or no longer need the item,Often,No,Heavily,No,2,No,3,2,User-friendly website/app interface,Product quality and accuracy
2023-06-06 19.18.01,60,Female,Once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Keyword,First page,2,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Occasionally,No,2,No,2,3,Product recommendations,Customer service responsiveness
2023-06-06 19.18.52,18,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a month,categories,First page,3,Maybe,Sometimes,Found a better price elsewhere,Often,No,Rarely,No,4,No,4,4,Competitive prices,Reducing packaging waste
2023-06-06 19.19.43,50,Male,Less than once a month,Clothing and Fashion;Home and Kitchen;others,No,Few times a week,categories,Multiple pages,3,No,Never,others,Rarely,No,Occasionally,No,4,No,4,4,Product recommendations,Shipping speed and reliability
2023-06-06 19.20.35,24,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,categories,First page,1,No,Sometimes,Changed my mind or no longer need the item,Rarely,No,Occasionally,Sometimes,3,No,2,3,Wide product selection,Product quality and accuracy
2023-06-06 19.21.26,19,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,First page,3,No,Often,Found a better price elsewhere,Sometimes,No,Occasionally,No,2,No,3,2,Wide product selection,Customer service responsiveness
2023-06-06 19.22.31,18,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,No,Rarely,others,First page,4,Maybe,Rarely,High shipping costs,Always,Yes,Moderately,No,1,No,2,1,Wide product selection,Product quality and accuracy
2023-06-06 19.23.25,17,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a week,categories,Multiple pages,3,Maybe,Never,Changed my mind or no longer need the item,Always,Yes,Moderately,No,2,No,2,2,Wide product selection,Customer service responsiveness
2023-06-06 19.31.34,27,Female,Once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Sometimes,Yes,Heavily,Yes,3,Sometimes,3,2,Wide product selection,Shipping speed and reliability
2023-06-06 19.39.44,23,Male,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,No,Rarely,Filter,Multiple pages,1,No,Often,Changed my mind or no longer need the item,Never,No,Heavily,Yes,5,No,5,2,Wide product selection,Product quality and accuracy
2023-06-06 19.40.11,35,Female,Few times a month,Beauty and Personal Care,No,Few times a month,categories,First page,3,Maybe,Rarely,Found a better price elsewhere,Often,Yes,Occasionally,No,2,No,4,2,Product recommendations,Reducing packaging waste
2023-06-06 19.40.53,57,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Filter,Multiple pages,2,No,Always,Changed my mind or no longer need the item,Rarely,No,Occasionally,Yes,3,Sometimes,3,1,Product recommendations,Reducing packaging waste
2023-06-06 19.41.36,54,Male,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,First page,3,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Moderately,No,3,No,2,2,Competitive prices,Product quality and accuracy
2023-06-06 19.42.13,26,Prefer not to say,Once a month,Beauty and Personal Care,No,Few times a month,categories,Multiple pages,2,No,Sometimes,High shipping costs,Often,No,Heavily,No,2,No,2,2,Wide product selection,Shipping speed and reliability
2023-06-06 19.42.51,46,Male,Once a week,Beauty and Personal Care,Sometimes,Rarely,Keyword,Multiple pages,2,Yes,Often,Found a better price elsewhere,Often,Yes,Heavily,No,2,No,2,2,Competitive prices,Customer service responsiveness
2023-06-06 19.46.27,26,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,Keyword,Multiple pages,1,Maybe,Often,others,Often,Yes,Moderately,Yes,3,Sometimes,3,2,Competitive prices,Add more familiar brands to the list
2023-06-06 19.54.19,24,Male,Once a month,others,No,Few times a month,Filter,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,1,Yes,3,2,User-friendly website/app interface,Shipping speed and reliability
2023-06-06 20.01.47,26,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a week,categories,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,2,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability
2023-06-06 20.08.19,27,Male,Once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,5,Maybe,Often,High shipping costs,Never,Yes,Heavily,Yes,3,Yes,1,2,Wide product selection,Shipping speed and reliability
2023-06-06 20.55.08,22,Female,Few times a month,Beauty and Personal Care,Yes,Multiple times a day,Filter,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Always,Yes,Moderately,Sometimes,1,Sometimes,3,3,Competitive prices,Customer service responsiveness
2023-06-06 20.56.17,24,Male,Few times a month,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,3,Yes,3,3,Product recommendations,Customer service responsiveness
2023-06-06 20.57.23,25,Male,Multiple times a week,Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Often,No,Occasionally,Sometimes,2,No,3,3,Competitive prices,Reducing packaging waste
2023-06-06 21.08.20,22,Prefer not to say,Once a month,Beauty and Personal Care,Yes,Few times a week,others,First page,2,Maybe,Often,Found a better price elsewhere,Sometimes,Yes,Heavily,No,3,Sometimes,3,3,Product recommendations,Customer service responsiveness
2023-06-06 21.08.39,27,Male,Once a month,others,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,High shipping costs,Never,Yes,Heavily,Yes,3,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability
2023-06-06 23.06.30,23,Female,Less than once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Yes,2,Yes,2,2,Competitive prices,Shipping speed and reliability
2023-06-06 23.28.31,24,Male,Less than once a month,Clothing and Fashion,No,Few times a month,categories,First page,1,Maybe,Sometimes,High shipping costs,Never,No,Heavily,Yes,3,Yes,3,3,User-friendly website/app interface,Product quality and accuracy
2023-06-07 00.58.28,24,Female,Less than once a month,Beauty and Personal Care,No,Rarely,categories,First page,4,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,Moderately,Yes,3,No,3,3,Competitive prices,Product quality and accuracy
2023-06-07 03.08.03,23,Female,Few times a month,Clothing and Fashion,No,Few times a month,Filter,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Sometimes,4,Yes,3,4,User-friendly website/app interface,Product quality and accuracy
2023-06-07 06.09.58,23,Male,Once a month,Clothing and Fashion;others,No,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Heavily,Yes,3,No,3,3,Competitive prices,UI
2023-06-07 09.19.23,25,Female,Once a week,Groceries and Gourmet Food,Yes,Multiple times a day,Filter,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,3,Yes,3,3,Product recommendations,Reducing packaging waste
2023-06-07 09.20.34,21,Male,Once a week,Groceries and Gourmet Food,No,Few times a week,categories,First page,5,Maybe,Sometimes,High shipping costs,Rarely,Yes,Occasionally,No,3,No,3,3,User-friendly website/app interface,Customer service responsiveness
2023-06-07 09.24.31,36,Female,Few times a month,Groceries and Gourmet Food,No,Few times a month,Keyword,Multiple pages,2,No,Often,Found a better price elsewhere,Sometimes,Yes,Occasionally,No,3,Sometimes,3,4,Wide product selection,Customer service responsiveness
2023-06-07 09.25.35,23,Female,Multiple times a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,No,Often,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness
2023-06-07 09.27.03,23,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,3,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,3,No,3,3,Product recommendations,Customer service responsiveness
2023-06-07 09.28.09,23,Prefer not to say,Once a week,Clothing and Fashion,Yes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Yes,3,No,3,3,Product recommendations,Customer service responsiveness
2023-06-07 09.32.38,21,Female,Once a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Yes,3,No,3,3,Competitive prices,Customer service responsiveness
2023-06-07 10.56.11,23,Prefer not to say,Once a week,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,3,Maybe,Often,High shipping costs,Always,Yes,Heavily,Yes,3,Sometimes,3,3,Competitive prices,Product quality and accuracy
2023-06-07 10.57.14,26,Others,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Yes,Sometimes,High shipping costs,Sometimes,Yes,Occasionally,No,3,No,2,3,User-friendly website/app interface,Product quality and accuracy
2023-06-07 10.58.27,30,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Never,Yes,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness
2023-06-07 11.41.56,37,Female,Once a month,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Heavily,Yes,4,Sometimes,2,3,Wide product selection,Product quality and accuracy
2023-06-07 11.44.55,26,Female,Once a month,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Occasionally,Yes,2,Yes,3,3,Competitive prices,Shipping speed and reliability
2023-06-07 11.46.52,46,Female,Once a month,others,Sometimes,Rarely,others,First page,5,Yes,Always,High shipping costs,Always,Yes,Rarely,Sometimes,1,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability
2023-06-07 11.47.07,36,Female,Less than once a month,others,No,Rarely,others,Multiple pages,4,No,Never,others,Never,No,Never,Sometimes,4,Yes,4,4,User-friendly website/app interface,Product quality and accuracy
2023-06-07 11.47.44,40,Female,Less than once a month,Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Moderately,Yes,3,Yes,2,2,Wide product selection,Customer service responsiveness
2023-06-07 11.47.44,41,Male,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Always,Found a better price elsewhere,Rarely,Yes,Rarely,Yes,5,Yes,2,3,Wide product selection,Shipping speed and reliability
2023-06-07 11.48.25,34,Male,Less than once a month,others,No,Rarely,Keyword,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Moderately,Sometimes,4,No,3,2,Wide product selection,Scrolling option would be much better than going to next page
2023-06-07 11.54.03,29,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,Multiple pages,1,Maybe,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,5,No,3,3,User-friendly website/app interface,Product quality and accuracy
2023-06-07 12.01.15,35,Male,Once a month,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Rarely,Yes,2,Yes,3,3,Product recommendations,Product quality and accuracy
2023-06-07 12.13.39,32,Male,Less than once a month,Clothing and Fashion,No,Rarely,Keyword,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Rarely,Yes,Moderately,Yes,3,Yes,1,3,Product recommendations,Reducing packaging waste
2023-06-07 12.23.07,41,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,Filter,Multiple pages,1,Yes,Often,Found a better price elsewhere,Never,No,Heavily,Yes,1,Yes,2,2,Wide product selection,Product quality and accuracy
2023-06-07 12.27.12,35,Female,Few times a month,Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Yes,2,Yes,3,2,Wide product selection,Product quality and accuracy
2023-06-07 12.29.31,36,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,Sometimes,3,Yes,2,1,Competitive prices,Reducing packaging waste
2023-06-07 12.30.22,46,Female,Once a week,others,No,Few times a week,Keyword,Multiple pages,5,Yes,Often,Found a better price elsewhere,Often,No,Moderately,Yes,5,Sometimes,3,4,Wide product selection,Customer service responsiveness
2023-06-07 12.36.04,39,Female,Few times a month,Home and Kitchen,Sometimes,Few times a week,Filter,First page,2,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Rarely,No,1,Sometimes,2,3,Wide product selection,Customer service responsiveness
